,Time,PnL
0,1514764800,0.0
1,1514851200,0.0
2,1514937600,2.386635132512868
3,1515024000,3.2623943861321583
4,1515110400,3.627216010917507
5,1515196800,5.558829365763227
6,1515283200,2.0388293657632364
7,1515369600,1.1606626990965725
8,1515456000,4.910271850474226
9,1515542400,5.573410468881083
10,1515628800,2.8675477844021944
11,1515715200,4.262028807587561
12,1515801600,8.386948327049524
13,1515888000,2.3154079230091544
14,1515974400,1.6331048927061247
15,1516060800,1.4076371937384258
16,1516147200,7.186424315786069
17,1516233600,6.064287230325958
18,1516320000,5.442887804105697
19,1516406400,4.653911109007772
20,1516492800,3.2314270032442565
21,1516579200,2.9472420908913888
22,1516665600,4.751642400380465
23,1516752000,6.042115395094864
24,1516838400,6.193336398642951
25,1516924800,6.378937310769392
26,1517011200,7.24835818530789
27,1517097600,4.728169140226593
28,1517184000,3.558951359297525
29,1517270400,5.287533278639494
30,1517356800,4.936845028607772
31,1517443200,4.959452080340687
32,1517529600,5.938326155046569
33,1517616000,6.281042498869442
34,1517702400,1.7442038922146677
35,1517788800,0.3272668292776091
36,1517875200,3.495070696677141
37,1517961600,1.3889253495487976
38,1518048000,2.9189222307171603
39,1518134400,2.1654270849198847
40,1518220800,1.1252699547377383
41,1518307200,0.24895022857140908
42,1518393600,0.15753630606460722
43,1518480000,1.2823708965542118
44,1518566400,1.4693724010897973
45,1518652800,1.2469941668066808
46,1518739200,2.1864609489641005
47,1518825600,4.623087931749605
48,1518912000,1.467127405433822
49,1518998400,0.9631084660398833
50,1519084800,0.7189806855816084
51,1519171200,3.95850603561132
52,1519257600,4.284295959357005
53,1519344000,5.139262032971832
54,1519430400,4.192503247805466
55,1519516800,2.6618903884426115
56,1519603200,2.078820762718574
57,1519689600,5.91008973648335
58,1519776000,11.546645167012064
59,1519862400,8.440210876153332
60,1519948800,4.007450371981484
61,1520035200,1.1483828365880446
62,1520121600,-0.2470216356307238
63,1520208000,-0.15675206940403633
64,1520294400,3.1444160597250352
65,1520380800,5.4149478112933
66,1520467200,5.757640388835013
67,1520553600,7.291265684991097
68,1520640000,9.391047954979214
69,1520726400,6.220203549540799
70,1520812800,5.93683923327532
71,1520899200,14.241570779383391
72,1520985600,19.081564953749005
73,1521072000,20.880900287108833
74,1521158400,16.626644529151417
75,1521244800,22.45627263892718
76,1521331200,11.717429959512735
77,1521417600,9.40714152620849
78,1521504000,14.915862221249368
79,1521590400,14.23678230924986
80,1521676800,18.808108625710048
81,1521763200,18.764475917479146
82,1521849600,7.634121443706446
83,1521936000,1.9269424297146045
84,1522022400,0.9594924768216226
85,1522108800,2.90269312091184
86,1522195200,4.534195612979967
87,1522281600,2.3642304795748954
88,1522368000,5.1948963266483394
89,1522454400,-0.1983182526004789
90,1522540800,-0.4474660473997798
91,1522627200,-0.4557791800276219
92,1522713600,2.0806468847490676
93,1522800000,1.740398730076467
94,1522886400,1.7083107903733827
95,1522972800,7.237843638269649
96,1523059200,4.062773265389472
97,1523145600,0.40710087125718536
98,1523232000,0.22566185565015548
99,1523318400,2.09668948457002
100,1523404800,2.4214673131618483
101,1523491200,3.1645611983535504
102,1523577600,3.9277881031468294
103,1523664000,4.109293722648405
104,1523750400,1.2352565793748802
105,1523836800,1.5318969188633402
106,1523923200,5.046911990435261
107,1524009600,6.596110205671174
108,1524096000,11.007048905213933
109,1524182400,10.893664981137423
110,1524268800,10.334663968140278
111,1524355200,5.648364858767108
112,1524441600,2.5061194142714815
113,1524528000,6.41869113755266
114,1524614400,10.013420347296247
