Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,46.75B
AA,Alcoa,Metals & Mining,10.45B
AAC,Ares Acquisition,Shell Companies,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,81.78M
AADI,Aadi Bioscience,Biotechnology,549.15M
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,128.49M
AAL,American Airlines,Airlines,13.04B
AAMC,Altisource Asset Management,Real Estate Management & Development,49.25M
AAME,Atlantic American,Insurance,85.99M
AAN,The Aaron's Company,Specialty Retail,923.98M
AAOI,Applied Optoelectronics,Communications Equipment,192.98M
AAON,"AAON, Inc.",Building Products,3.71B
AAP,Advance Auto Parts,Specialty Retail,14.00B
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,400.43B"
AAQC,Accelerate Acquisition,Shell Companies,485.50M
AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.38B
AATC,Autoscope Technologies,Scientific & Technical Instruments,37.25M
AAU,Almaden Minerals,Metals & Mining,52.71M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.28B
AB,AllianceBernstein,Capital Markets,5.20B
ABB,ABB Ltd.,Electrical Equipment,69.24B
ABBV,AbbVie,Biotechnology,189.85B
ABC,AmerisourceBergen,Health Care Providers & Services,24.60B
ABCB,Ameris Bancorp,Banks,3.65B
ABCL,AbCellera Biologics,Biotechnology,4.35B
ABCM,Abcam PLC,Biotechnology,5.01B
ABEO,Abeona Therapeutics,Biotechnology,92.12M
ABEV,Ambev,Beverages,44.31B
ABG,Asbury Automotive Group,Specialty Retail,4.10B
ABGI,ABG Acquisition I,Shell Companies,188.01M
ABIO,ARCA biopharma,Biotechnology,40.20M
ABM,ABM Industries,Commercial Services & Supplies,3.03B
ABMD,Abiomed,Health Care Equipment & Supplies,15.93B
ABNB,Airbnb,"Hotels, Restaurants & Leisure",107.27B
ABOS,Acumen Pharmaceuticals,Biotechnology,520.25M
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.74B
ABSI,Absci,Biotechnology,985.99M
ABST,Absolute Software,Software-Application,562.49M
ABT,Abbott Laboratories,Health Care Equipment & Supplies,207.22B
ABTX,Allegiance Bancshares,Banks,777.06M
ABUS,Arbutus Biopharma,Biotechnology,404.58M
ABVC,ABVC BioPharma,Biotechnology,67.50M
AC,Associated Capital Group,Capital Markets,1.52B
ACA,Arcosa,Construction & Engineering,2.51B
ACAD,ACADIA Pharmaceuticals,Biotechnology,2.81B
ACAH,Atlantic Coastal Acquisition,Shell Companies,420.04M
ACB,Aurora Cannabis,Pharmaceuticals,1.37B
ACBA,Ace Global Business Acquisition,Shell Companies,10.17M
ACBI,Atlantic Capital Bancshares,Banks,555.29M
ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.19B
ACCD,Accolade,Health Care Technology,2.67B
ACCO,ACCO Brands,Commercial Services & Supplies,855.56M
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.18B
ACER,Acer Therapeutics,Pharmaceuticals,34.63M
ACET,Adicet Bio,Health Care Providers & Services,254.74M
ACEV,ACE Convergence Acquisition,Shell Companies,285.20M
ACGL,Arch Capital Group,Insurance,16.77B
ACH,Aluminum Corporation of China,Metals & Mining,17.39B
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.11B
ACHL,Achilles Therapeutics,Biotechnology,290.32M
ACHR,Archer Aviation,Aerospace & Defense,1.67B
ACHV,Achieve Life Sciences,Biotechnology,76.66M
ACI,Albertsons Companies,Grocery Stores,13.57B
ACII,Atlas Crest Investment II,Shell Companies,421.76M
ACIU,AC Immune,Biotechnology,448.99M
ACIW,ACI Worldwide,Software,3.66B
ACKIT,Ackrell SPAC Partners I,Shell Companies,144.11M
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,1.66B
ACM,Aecom,Construction & Engineering,9.09B
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,2.01B
ACN,Accenture,IT Services,216.23B
ACNB,ACNB Corporation,Banks,241.32M
ACOR,Acorda Therapeutics,Biotechnology,51.73M
ACQR,Independence Holdings,Shell Companies,602.34M
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trus...,147.67M
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trus...,735.10M
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,363.75M
ACRS,Aclaris Therapeutics,Pharmaceuticals,1.03B
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,122.16M
ACST,Acasti Pharma,Pharmaceuticals,75.83M
ACT,Enact Holdings,Insurance-Specialty,3.55B
ACTD,Arclight Clean Transition II,Shell Companies,378.06M
ACTG,Acacia Research,Professional Services,270.36M
ACU,Acme United,Commercial Services & Supplies,127.39M
ACVA,ACV Auctions,Software-Application,3.04B
ACXP,Acurx Pharmaceuticals,Biotechnology,49.20M
ACY,AeroCentury,Trading Companies & Distributors,175.22M
ADAG,Adagene,Biotechnology,511.15M
ADAP,Adaptimmune Therapeutics,Biotechnology,826.49M
ADBE,Adobe,Software,295.22B
ADC,Agree Realty,Equity Real Estate Investment Trusts...,4.79B
ADCT,ADC Therapeutics SA,Communications Equipment,1.99B
ADER,26 Capital Acquisition,Shell Companies,338.25M
ADES,Advanced Emissions Solutions,Chemicals,123.39M
ADEX,Adit EdTech Acquisition,Shell Companies,136.36M
ADF,Aldel Financial,Shell Companies,150.37M
ADGI,Adagio Therapeutics,Biotechnology,3.65B
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,93.15B
ADIL,Adial Pharmaceuticals,Pharmaceuticals,77.50M
ADM,Archer Daniels Midland,Food Products,35.84B
ADMA,ADMA Biologics,Biotechnology,146.05M
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,183.13M
ADMS,Adamas Pharmaceuticals,Biotechnology,368.04M
ADN,Advent Technologies,Utilities-Renewable,444.37M
ADNT,Adient,Auto Components,4.33B
ADOC,Edoc Acquisition,Shell Companies,119.69M
ADP,Automatic Data Processing,IT Services,89.86B
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,4.72B
ADRA,Adara Acquisition,n/a,112.70M
ADS,Alliance Data Systems,IT Services,4.98B
ADSK,Autodesk,Software,64.03B
ADT,ADT Inc.,Commercial Services & Supplies,6.97B
ADTN,"ADTRAN, Inc.",Communications Equipment,886.25M
ADTX,Aditx Therapeutics,Biotechnology,38.39M
ADUS,Addus HomeCare,Health Care Providers & Services,1.22B
ADV,Advantage Solutions,Advertising Agencies,2.81B
