Symbol,Company Name,Industry,Market Cap
ADVM,Adverum Biotechnologies,Biotechnology,202.14M
ADXN,Addex Therapeutics,Biotechnology,48.71M
ADXS,Advaxis,Biotechnology,70.93M
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",130.15M
AEAC,Authentic Equity Acquisition,Shell Companies,291.90M
AEE,Ameren,Multi-Utilities,21.38B
AEG,Aegon,Insurance,10.52B
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,16.63M
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,544.99M
AEI,Alset Ehome International,Real Estate-Development,80.30M
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.34B
AEL,American Equity Investment Life,Insurance,2.99B
AEM,Agnico Eagle Mines,Metals & Mining,13.85B
AEMD,Aethlon Medical,Health Care Equipment & Supplies,52.79M
AENZ,Aenza,Engineering & Construction,321.04M
AEO,American Eagle Outfitters,Specialty Retail,4.30B
AEP,American Electric Power,Electric Utilities,41.47B
AER,AerCap Holdings,Trading Companies & Distributors,8.15B
AERI,Aerie Pharmaceuticals,Pharmaceuticals,604.12M
AES,AES Corporation,Independent Power and Renewable Elect...,15.91B
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",69.67M
AEVA,Aeva Technologies,Auto Parts,1.62B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",28.40M
AEYE,AudioEye,Software,120.28M
AEZS,AEterna Zentaris,Biotechnology,75.58M
AFAQ,AF Acquisition,Shell Companies,273.00M
AFBI,Affinity Bancshares,Banks,98.06M
AFCG,AFC Gamma,REIT-Specialty,393.90M
AFG,American Financial Group,Insurance,11.29B
AFI,Armstrong Flooring,Building Products,68.74M
AFIB,Acutus Medical,Medical Devices,242.26M
AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,995.58M
AFL,Aflac,Insurance,37.00B
AFMD,Affimed N.V.,Biotechnology,707.62M
AFRM,Affirm Holdings,IT Services,43.06B
AFTR,AfterNext HealthTech Acquisition,Shell Companies,302.19M
AFYA,Afya,Diversified Consumer Services,1.86B
AG,First Majestic Silver,Metals & Mining,3.16B
AGAC,African Gold Acquisition,Shell Companies,502.75M
AGBA,AGBA Acquisition,Shell Companies,58.40M
AGC,Altimeter Growth Corp.,Shell Companies,668.76M
AGCB,Altimeter Growth 2,Shell Companies,578.36M
AGCO,AGCO Corporation,Machinery,9.58B
AGE,AgeX Therapeutics,Biotechnology,34.90M
AGEN,Agenus,Biotechnology,1.20B
AGFS,AgroFresh Solutions,Chemicals,111.59M
AGFY,Agrify,Machinery,377.66M
AGGR,Agile Growth,Shell Companies,376.65M
AGI,Alamos Gold,Metals & Mining,3.16B
AGIL,AgileThought,"Data Processing, Hosting, and Related...",4.17M
AGIO,Agios Pharmaceuticals,Biotechnology,2.61B
AGL,Agilon Health,Medical Care Facilities,9.06B
AGLE,Aeglea Biotherapeutics,Biotechnology,401.35M
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1.26B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.25B
AGMH,AGM Group Holdings,Capital Markets,242.18M
AGNC,AGNC Investment,Mortgage Real Estate Investment Trus...,8.51B
AGO,Assured Guaranty,Insurance,3.91B
AGR,Avangrid,Electric Utilities,19.76B
AGRI,AgriFORCE Growing Systems,Farm Products,29.48M
AGRO,Adecoagro,Food Products,1.13B
AGRX,Agile Therapeutics,Pharmaceuticals,90.95M
AGS,PlayAGS,"Hotels, Restaurants & Leisure",296.71M
AGTC,Applied Genetic Technologies,Biotechnology,112.29M
AGTI,Agiliti,Health Information Services,2.52B
AGX,Argan,Construction & Engineering,697.80M
AGYS,Agilysys,Software,1.30B
AHCO,AdaptHealth,Health Care Providers & Services,3.31B
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts...,830.70M
AHPA,Avista Public Acquisition II,Shell Companies,248.50M
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,24.92M
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts...,425.79M
AI,C3.ai,Software,4.72B
AIG,American International Group,Insurance,49.51B
AIH,Aesthetic Medical International,Health Care Providers & Services,101.94M
AIHS,Senmiao Technology,Consumer Finance,35.74M
AIKI,AIkido Pharma,Biotechnology,74.73M
AIM,AIM ImmunoTech,Biotechnology,92.35M
AIMC,Altra Industrial Motion,Machinery,3.55B
AIN,Albany International,Machinery,2.60B
AINC,Ashford,Capital Markets,57.34M
AINV,Apollo Investment,Capital Markets,868.67M
AIR,AAR Corp.,Aerospace & Defense,1.19B
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts...,8.03B
AIRG,Airgain,"Electronic Equipment, Instruments & C...",110.86M
AIRI,Air Industries Group,Aerospace & Defense,34.96M
AIRT,Air T,Air Freight & Logistics,82.13M
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3.75B
AIV,Aimco,Equity Real Estate Investment Trusts...,1.12B
AIZ,Assurant,Insurance,9.55B
AJG,Arthur J. Gallagher,Insurance,33.55B
AJRD,Aerojet Rocketdyne,Aerospace & Defense,3.52B
AJX,Great Ajax,Mortgage Real Estate Investment Trus...,324.46M
AKA,a.k.a. Brands,Internet Retail,1.13B
AKAM,Akamai Technologies,IT Services,17.37B
AKBA,Akebia Therapeutics,Biotechnology,490.45M
AKIC,Sports Ventures Acquisition,Shell Companies,287.04M
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.72B
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1.81B
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts...,2.02B
AKRO,Akero Therapeutics,Biotechnology,743.95M
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",449.59M
AKTX,Akari Therapeutics,Pharmaceuticals,78.06M
AKU,Akumin,Diagnostics & Research,183.40M
AKUS,Akouos,Biotechnology,345.15M
AKYA,Akoya Biosciences,Medical Instruments & Supplies,478.23M
AL,Air Lease Corporation,Trading Companies & Distributors,4.78B
ALAC,Alberton Acquisition,Shell Companies,51.39M
ALB,Albemarle,Chemicals,27.75B
ALBO,Albireo Pharma,Biotechnology,601.55M
ALC,Alcon,Medical Instruments & Supplies,38.53B
ALCC,AltC Acquisition,Shell Companies,551.25M
ALCO,"Alico, Inc.",Food Products,258.52M
ALDX,Aldeyra Therapeutics,Biotechnology,482.59M
ALE,"ALLETE, Inc.",Electric Utilities,3.25B
ALEC,Alector,Biotechnology,1.88B
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts...,1.75B
ALF,ALFI,Software-Infrastructure,97.85M
ALG,Alamo Group,Machinery,1.74B
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,5.88B
ALGN,Align Technology,Health Care Equipment & Supplies,46.73B
ALGS,Aligos Therapeutics,Biotechnology,665.98M
ALGT,Allegiant Travel,Airlines,3.44B
ALHC,Alignment Healthcare,Health Care Providers & Services,3.55B
ALIM,Alimera Sciences,Pharmaceuticals,29.77M
ALIT,Alight,Software-Application,5.23B
ALJJ,ALJ Regional Holdings,IT Services,49.96M
ALK,Alaska Air Group,Airlines,7.23B
ALKS,Alkermes,Biotechnology,5.01B
ALKT,Alkami Technology,Software-Application,2.47B
ALL,Allstate,Insurance,37.48B
ALLE,Allegion,Building Products,12.09B
ALLK,Allakos,Biotechnology,5.62B
ALLO,Allogene Therapeutics,Biotechnology,2.24B
ALLT,Allot Ltd.,Software,514.93M
ALLY,Ally Financial,Consumer Finance,19.79B
ALNA,Allena Pharmaceuticals,Biotechnology,70.71M
ALNY,Alnylam Pharmaceuticals,Biotechnology,24.23B
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",121.36M
ALPA,Alpha Healthcare Acquisition III,Shell Companies,187.25M
ALPN,Alpine Immune Sciences,Biotechnology,330.59M
ALRM,Alarm.com,Software,4.05B
ALRN,Aileron Therapeutics,Biotechnology,86.38M
ALRS,Alerus Financial,Diversified Financial Services,543.70M
ALSN,Allison Transmission Holdings,Machinery,3.71B
ALT,Altimmune,Biotechnology,475.28M
ALTG,Alta Equipment Group,Trading Companies & Distributors,439.17M
ALTM,Altus Midstream,"Oil, Gas & Consumable Fuels",1.45B
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",411.53M
ALTR,Altair Engineering,Software,5.77B
ALTU,Altitude Acquisition,Shell Companies,369.09M
ALV,Autoliv,Auto Components,8.33B
ALVR,AlloVir,Biotechnology,1.45B
ALX,Alexander's,Equity Real Estate Investment Trusts...,1.41B
ALXO,ALX Oncology Holdings,Biotechnology,2.38B
ALYA,Alithya Group,IT Services,238.94M
ALZN,Alzamend Neuro,Biotechnology,199.05M
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",5.42B
AMAL,Amalgamated Bank,Banks,532.05M
AMAM,Ambrx Biopharma,Biotechnology,482.92M
AMAO,American Acquisition Opportunity,Shell Companies,134.68M
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,118.83B
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,6.13B
AMBC,Ambac Financial Group,Insurance,711.74M
AMBO,Ambow Education Holding,Diversified Consumer Services,33.36M
AMBP,Ardagh MP USA,Packaging & Containers,6.22B
AMC,AMC Entertainment,Entertainment,22.12B
AMCI,AMCI Acquisition II,Shell Companies,181.31M
AMCR,Amcor,Containers & Packaging,18.34B
AMCX,AMC Networks,Media,1.86B
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,141.23B
AME,"AMETEK, Inc.",Electrical Equipment,29.71B
AMED,Amedisys,Health Care Providers & Services,4.95B
AMEH,Apollo Medical Holdings,Health Care Providers & Services,3.19B
AMG,Affiliated Managers Group,Capital Markets,6.57B
AMGN,Amgen,Biotechnology,115.35B
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,12.62B
AMK,AssetMark Financial,Capital Markets,1.84B
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5.42B
AMN,AMN Healthcare Services,Health Care Providers & Services,4.47B
AMNB,American National Bankshares,Banks,375.43M
AMOT,Allied Motion Technologies,Electrical Equipment,472.35M
AMOV,America Movil,Wireless Telecommunication Services,60.05B
AMP,Ameriprise Financial,Capital Markets,32.87B
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,326.75M
AMPG,AmpliTech Group,Communication Equipment,32.19M
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,917.89M
AMPI,Advanced Merger Partners,Shell Companies,350.03M
AMPL,Amplitude,Software-Application,6.51B
AMPY,Amplify Energy,Oil & Gas E&P,148.17M
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",1.18B
AMRC,Ameresco,Construction & Engineering,3.29B
AMRK,A-Mark Precious Metals,Diversified Financial Services,776.83M
AMRN,Amarin,Biotechnology,2.04B
AMRS,Amyris,Chemicals,4.08B
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,832.97M
AMS,American Shared Hospital Services,Health Care Providers & Services,16.96M
AMSC,American Superconductor,Electrical Equipment,472.23M
AMSF,"AMERISAFE, Inc.",Insurance,1.11B
AMST,Amesite,Software-Application,39.34M
AMSWA,American Software,Software,900.12M
AMT,American Tower,Equity Real Estate Investment Trusts...,122.58B
AMTB,Amerant Bancorp,Banks,967.31M
AMTBB,Amerant Bancorp,Banks,967.31M
AMTI,Applied Molecular Transport,Biotechnology,829.97M
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",570.25M
AMWD,American Woodmark,Building Products,1.13B
AMWL,Amwell,Health Information Services,2.06B
AMX,America Movil,Wireless Telecommunication Services,59.88B
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,766.56M
AMZN,Amazon,Internet & Direct Marketing Retail,"1,741.02B"
AN,AutoNation,Specialty Retail,8.40B
ANAB,AnaptysBio,Biotechnology,786.52M
ANAC,Arctos NorthStar Acquisition,Biotechnology,309.61M
ANAT,American National Insurance,Insurance,5.10B
ANDE,Andersons,Food & Staples Retailing,1.04B
ANEB,Anebulo Pharmaceuticals,Biotechnology,164.58M
ANET,Arista Networks,Communications Equipment,29.90B
ANF,Abercrombie & Fitch,Specialty Retail,2.32B
ANGI,ANGI Homeservices,Interactive Media & Services,6.63B
ANGN,Angion Biomedica,Biotechnology,258.95M
ANGO,AngioDynamics,Health Care Equipment & Supplies,1.06B
ANIK,Anika Therapeutics,Biotechnology,594.80M
ANIP,ANI Pharmaceuticals,Pharmaceuticals,491.86M
ANIX,Anixa Biosciences,Biotechnology,128.49M
ANNX,Annexon Biosciences,Biotechnology,843.31M
ANPC,AnPac Bio-Medical Science,Biotechnology,40.65M
ANSS,"ANSYS, Inc.",Software,31.49B
ANTE,AirNet Technology,Media,44.13M
ANTM,Anthem,Health Care Providers & Services,95.83B
ANVS,Annovis Bio,Biotechnology,231.60M
ANY,Sphere 3D,Software,470.47M
ANZU,Anzu Special Acquisition I,Shell Companies,514.25M
AOMR,Angel Oak Mortgage,REIT-Mortgage,451.15M
AON,Aon plc,Insurance,69.86B
AOS,A. O. Smith,Building Products,10.50B
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,839.90M
AOUT,American Outdoor Brands,Leisure Products,329.47M
AP,Ampco-Pittsburgh,Metals & Mining,89.55M
APA,Apache,"Oil, Gas & Consumable Fuels",10.18B
APAC,Stonebridge Acquisition,Shell Companies,246.75M
APAM,Artisan Partners Asset Management,Capital Markets,3.70B
APD,Air Products & Chemicals,Chemicals,64.79B
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",42.07M
APEI,American Public Education,Diversified Consumer Services,467.51M
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,247.59M
APG,APi Group,Construction & Engineering,4.68B
APGB,Apollo Strategic Growth Capital II,Shell Companies,843.09M
APH,Amphenol,"Electronic Equipment, Instruments & C...",46.41B
API,Agora,"Electronic Equipment, Instruments & C...",3.21B
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts...,3.60B
APLS,Apellis Pharmaceuticals,Biotechnology,2.91B
APLT,Applied Therapeutics,Biotechnology,447.38M
APM,Aptorum Group,Biotechnology,92.22M
APMI,AxonPrime Infrastructure Acquisition,Shell Companies,183.75M
APO,Apollo Global Management,Capital Markets,29.19B
APOG,Apogee Enterprises,Building Products,984.25M
APOP,Cellect Biotechnology,Life Sciences Tools & Services,15.53M
APP,Applovin,Software-Application,34.71B
APPF,AppFolio,Software,4.48B
APPH,AppHarvest,Farm Products,549.55M
APPN,Appian Corporation,Software,6.58B
APPS,Digital Turbine,Software,8.14B
APR,Apria,Medical Instruments & Supplies,1.18B
APRE,Aprea Therapeutics,Biotechnology,111.02M
APRN,Blue Apron,Internet & Direct Marketing Retail,207.96M
APSG,Apollo Strategic Growth Capital,Shell Companies,1.00B
APT,Alpha Pro Tech,Building Products,82.61M
APTM,Alpha Partners Technology Merger,Shell Companies,310.24M
APTO,Aptose Biosciences,Biotechnology,204.83M
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts...,647.36M
APTV,Aptiv,Auto Components,45.37B
APTX,Aptinyx,Biotechnology,150.33M
APVO,Aptevo Therapeutics,Biotechnology,73.36M
APWC,Asia Pacific Wire & Cable,Electrical Equipment,42.54M
APYX,Apyx Medical,Health Care Equipment & Supplies,451.34M
AQB,AquaBounty Technologies,Biotechnology,277.71M
AQMS,Aqua Metals,Commercial Services & Supplies,153.50M
AQN,Algonquin Power & Utilities,Multi-Utilities,9.32B
AQST,Aquestive Therapeutics,Pharmaceuticals,158.27M
AQUA,Evoqua Water Technologies,Machinery,4.70B
AR,Antero Resources,"Oil, Gas & Consumable Fuels",6.15B
ARAV,Aravive,Biotechnology,77.88M
ARAY,Accuray,Health Care Equipment & Supplies,353.44M
ARBE,Arbe Robotics,Software-Infrastructure,529.35M
ARBG,Aequi Acquisition,Shell Companies,280.89M
ARBK,Argo Blockchain,Capital Markets,787.12M
ARC,ARC Document Solutions,Commercial Services & Supplies,121.70M
ARCB,ArcBest,Road & Rail,2.19B
ARCC,Ares Capital,Capital Markets,9.63B
ARCE,Arco Platform,Diversified Consumer Services,1.06B
ARCH,Arch Coal,"Oil, Gas & Consumable Fuels",1.44B
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",997.68M
ARCT,Arcturus Therapeutics,Biotechnology,1.20B
ARDS,Aridis Pharmaceuticals,Biotechnology,51.26M
ARDX,Ardelyx,Biotechnology,111.37M
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts...,30.90B
AREC,American Resources,"Oil, Gas & Consumable Fuels",145.95M
ARES,Ares Management,Capital Markets,12.54B
ARGO,Argo Group International,Insurance,1.90B
ARGX,Argenx SE,Biotechnology,15.15B
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trus...,2.16B
ARKO,ARKO,Grocery Stores,1.22B
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",57.25M
ARL,American Realty Investors,Real Estate Management & Development,195.12M
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",539.25M
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1.49B
ARMK,Aramark,"Hotels, Restaurants & Leisure",9.28B
ARMP,Armata Pharmaceuticals,Biotechnology,86.04M
ARNA,Arena Pharmaceuticals,Biotechnology,3.77B
ARNC,Arconic,Aerospace & Defense,3.47B
AROC,Archrock,Energy Equipment & Services,1.33B
AROW,Arrow Financial,Banks,570.96M
ARQQ,Arqit Quantum,Software-Infrastructure,1.73B
ARQT,Arcutis Biotherapeutics,Biotechnology,1.12B
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trus...,888.34M
ARRW,Arrowroot Acquisition,Shell Companies,350.03M
ARRY,Array Technologies,Solar,2.62B
ARTA,Artisan Acquisition,Shell Companies,384.93M
ARTL,Artelo Biosciences,Pharmaceuticals,18.86M
ARTNA,Artesian Resources,Water Utilities,362.96M
ARTW,Art's-Way Manufacturing,Machinery,15.40M
ARVL,Arrival,Auto Manufacturers,8.91B
ARVN,Arvinas,Pharmaceuticals,4.33B
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",8.50B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,6.89B
ARYD,ARYA Sciences Acquisition IV,Shell Companies,196.07M
ARYE,Arya Sciences Acquisition V,Shell Companies,163.76M
ASA,ASA Gold And Precious Metals,Capital Markets,405.09M
ASAI,Sendas Distribuidora,Food & Staples Retailing,8.19B
ASAN,Asana,Software,21.35B
ASAQ,Atlantic Street Acquisition,Shell Companies,306.87M
ASAX,Astrea Acquisition,Shell Companies,217.29M
ASB,Associated Banc-Corp,Banks,3.35B
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",147.70M
ASGN,ASGN Incorporated,Professional Services,6.29B
ASH,Ashland,Chemicals,5.84B
ASIX,AdvanSix,Chemicals,1.24B
ASLE,AerSale,Airports & Air Services,784.68M
ASLN,ASLAN Pharmaceuticals,Biotechnology,110.69M
ASM,Avino Silver & Gold Mines,Metals & Mining,91.36M
ASMB,Assembly Biosciences,Biotechnology,146.61M
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,326.28B
ASND,Ascendis Pharma A/S,Biotechnology,9.04B
ASO,Academy Sports and Outdoors,Specialty Retail,3.60B
ASPA,Abri SPAC I,Shell Companies,63.83M
ASPC,Alpha Capital Acquisition,Shell Companies,279.45M
ASPN,Aspen Aerogels,Energy Equipment & Services,1.64B
ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,218.58M
ASPU,Aspen Group,Diversified Consumer Services,138.12M
ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,5.92B
ASRT,Assertio Therapeutics,Pharmaceuticals,44.94M
ASRV,AmeriServ Financial,Banks,65.40M
ASTC,Astrotech,Aerospace & Defense,48.46M
ASTE,Astec Industries,Machinery,1.15B
ASTR,Astra Space,Aerospace & Defense,2.39B
ASTS,AST SpaceMobile,Telecom Services,533.33M
ASUR,Asure Software,Software,179.82M
ASX,ASE Technology,Semiconductors & Semiconductor Equipment,14.88B
ASXC,Asensus Surgical,Medical Devices,404.21M
ASYS,Amtech Systems,Semiconductors & Semiconductor Equipment,171.04M
ASZ,Austerlitz Acquisition II,Shell Companies,1.92B
ATA,Americas Technology Acquisition,Shell Companies,145.58M
ATAI,ATAI Life Sciences,Biotechnology,2.19B
ATAQ,Altimar Acquisition III,Shell Companies,189.60M
ATAX,America First Multifamily Investors,Thrifts & Mortgage Finance,421.30M
ATC,Atotech,Electronic Components,4.64B
ATCO,Atlas Corp.,Marine,3.59B
ATCX,Atlas Technical Consultants,Engineering & Construction,319.20M
ATEC,Alphatec Holdings,Health Care Equipment & Supplies,1.19B
ATEN,A10 Networks,Software,1.04B
ATER,Aterian,Consumer Electronics,396.04M
ATEX,Anterix,Diversified Telecommunication Services,1.09B
ATGE,Adtalem Global Education,Diversified Consumer Services,1.79B
ATH,Athene Holding,Insurance,14.54B
ATHA,Athira Pharma,Biotechnology,356.55M
ATHE,Alterity Therapeutics,Biotechnology,57.10M
ATHM,Autohome,Interactive Media & Services,6.15B
ATHN,Athena Technology Acquisition,Health Care Technology,5.56B
ATHX,Athersys,Biotechnology,286.21M
ATI,Allegheny Technologies,Metals & Mining,2.13B
ATIF,ATIF Holdings,Professional Services,39.49M
