,Symbol,Industry
86,AG,Metals & Mining
87,AGCO,Machinery
88,AGEN,Biotechnology
89,AGFS,Chemicals
90,AGI,Metals & Mining
91,AGIO,Biotechnology
92,AGLE,Biotechnology
93,AGM,Thrifts & Mortgage Finance
94,AGNC,Mortgage Real Estate Investment Trus...
95,AGO,Insurance
96,AGR,Electric Utilities
97,AGRO,Food Products
98,AGRX,Pharmaceuticals
99,AGTC,Biotechnology
100,AGX,Construction & Engineering
101,AGYS,Software
102,AHH,Equity Real Estate Investment Trusts...
103,AHT,Equity Real Estate Investment Trusts...
104,AIG,Insurance
105,AIKI,Biotechnology
106,AIM,Biotechnology
107,AIMC,Machinery
108,AIN,Machinery
109,AINV,Capital Markets
110,AIR,Aerospace & Defense
111,AIRG,"Electronic Equipment, Instruments & C..."
112,AIRI,Aerospace & Defense
113,AIT,Trading Companies & Distributors
114,AIV,Equity Real Estate Investment Trusts...
115,AIZ,Insurance
116,AJG,Insurance
117,AJRD,Aerospace & Defense
118,AJX,Mortgage Real Estate Investment Trus...
119,AKAM,IT Services
120,AKBA,Biotechnology
121,AKR,Equity Real Estate Investment Trusts...
122,AKTS,"Electronic Equipment, Instruments & C..."
123,AL,Trading Companies & Distributors
124,ALB,Chemicals
125,ALBO,Biotechnology
126,ALCO,Food Products
127,ALDX,Biotechnology
128,ALE,Electric Utilities
129,ALEX,Equity Real Estate Investment Trusts...
130,ALG,Machinery
131,ALGN,Health Care Equipment & Supplies
132,ALGT,Airlines
133,ALK,Airlines
134,ALKS,Biotechnology
135,ALL,Insurance
136,ALLE,Building Products
137,ALLT,Software
138,ALLY,Consumer Finance
139,ALNY,Biotechnology
140,ALPN,Biotechnology
141,ALRM,Software
142,ALSN,Machinery
143,ALTO,"Oil, Gas & Consumable Fuels"
144,ALV,Auto Components
145,ALX,Equity Real Estate Investment Trusts...
146,AMBA,Semiconductors & Semiconductor Equipment
147,AMBC,Insurance
148,AMC,Entertainment
149,AMCX,Media
150,AMD,Semiconductors & Semiconductor Equipment
151,AME,Electrical Equipment
152,AMED,Health Care Providers & Services
153,AMG,Capital Markets
154,AMGN,Biotechnology
155,AMH,Equity Real Estate Investment Trusts...
156,AMKR,Semiconductors & Semiconductor Equipment
157,AMN,Health Care Providers & Services
158,AMNB,Banks
159,AMOT,Electrical Equipment
160,AMOV,Wireless Telecommunication Services
161,AMP,Capital Markets
162,AMPE,Pharmaceuticals
163,AMPH,Pharmaceuticals
164,AMRC,Construction & Engineering
165,AMRN,Biotechnology
166,AMRS,Chemicals
167,AMSC,Electrical Equipment
168,AMSF,Insurance
169,AMSWA,Software
170,AMT,Equity Real Estate Investment Trusts...
171,AMTX,"Oil, Gas & Consumable Fuels"
172,AMWD,Building Products
173,AMX,Wireless Telecommunication Services
174,AMZN,Internet & Direct Marketing Retail
175,AN,Specialty Retail
176,ANAT,Insurance
177,ANDE,Food & Staples Retailing
178,ANET,Communications Equipment
179,ANF,Specialty Retail
180,ANGI,Interactive Media & Services
181,ANGO,Health Care Equipment & Supplies
182,ANIK,Biotechnology
183,ANIP,Pharmaceuticals
184,ANIX,Biotechnology
185,ANSS,Software
186,ANTE,Media
