,Symbol,Industry
868,DIN,"Hotels, Restaurants & Leisure"
869,DIOD,Semiconductors & Semiconductor Equipment
870,DIS,Entertainment
871,DISCA,Media
872,DISCK,Media
873,DISH,Media
874,DK,"Oil, Gas & Consumable Fuels"
875,DKL,"Oil, Gas & Consumable Fuels"
876,DKS,Specialty Retail
877,DLA,"Textiles, Apparel & Luxury Goods"
878,DLB,"Electronic Equipment, Instruments & C..."
879,DLR,Equity Real Estate Investment Trusts...
880,DLTH,Internet & Direct Marketing Retail
881,DLTR,Multiline Retail
882,DLX,Commercial Services & Supplies
883,DMLP,"Oil, Gas & Consumable Fuels"
884,DMRC,Software
885,DNN,"Oil, Gas & Consumable Fuels"
886,DNOW,Trading Companies & Distributors
887,DOC,Equity Real Estate Investment Trusts...
888,DOOR,Building Products
889,DORM,Auto Components
890,DOV,Machinery
891,DOX,IT Services
892,DPZ,"Hotels, Restaurants & Leisure"
893,DQ,Semiconductors & Semiconductor Equipment
894,DRD,Metals & Mining
895,DRE,Equity Real Estate Investment Trusts...
896,DRH,Equity Real Estate Investment Trusts...
897,DRI,"Hotels, Restaurants & Leisure"
898,DRIO,Health Care Equipment & Supplies
899,DRNA,Biotechnology
900,DRQ,Energy Equipment & Services
901,DRRX,Pharmaceuticals
902,DS,"Hotels, Restaurants & Leisure"
903,DSGX,Software
904,DSKE,Road & Rail
905,DSPG,Semiconductors & Semiconductor Equipment
906,DSS,Commercial Services & Supplies
907,DSX,Marine
908,DTE,Multi-Utilities
909,DTEA,Specialty Retail
910,DUK,Electric Utilities
911,DVA,Health Care Providers & Services
912,DVAX,Biotechnology
913,DVN,"Oil, Gas & Consumable Fuels"
914,DWSN,Energy Equipment & Services
915,DX,Mortgage Real Estate Investment Trus...
916,DXC,IT Services
917,DXCM,Health Care Equipment & Supplies
918,DXLG,Specialty Retail
919,DXPE,Trading Companies & Distributors
920,DXYN,Household Durables
921,DY,Construction & Engineering
922,DZSI,Communications Equipment
923,E,"Oil, Gas & Consumable Fuels"
924,EA,Entertainment
925,EARN,Mortgage Real Estate Investment Trus...
926,EAT,"Hotels, Restaurants & Leisure"
927,EBAY,Internet & Direct Marketing Retail
928,EBF,Commercial Services & Supplies
929,EBIX,Software
930,EBMT,Banks
931,EBR,Electric Utilities
932,EBS,Biotechnology
933,EBSB,Thrifts & Mortgage Finance
934,EBTC,Banks
935,EC,"Oil, Gas & Consumable Fuels"
936,ECC,
937,ECHO,Air Freight & Logistics
938,ECL,Chemicals
939,ECOL,Commercial Services & Supplies
940,ECOM,Software
941,ECPG,Consumer Finance
942,ED,Multi-Utilities
943,EDAP,Health Care Equipment & Supplies
944,EDIT,Biotechnology
945,EDN,Electric Utilities
946,EDSA,Biotechnology
947,EDU,Diversified Consumer Services
948,EDUC,Distributors
949,EEFT,IT Services
950,EFC,Mortgage Real Estate Investment Trus...
951,EFOI,Electrical Equipment
952,EFSC,Banks
953,EFX,Professional Services
954,EGAN,Software
955,EGBN,Banks
956,EGHT,Software
957,EGLE,Marine
958,EGO,Metals & Mining
959,EGP,Equity Real Estate Investment Trusts...
960,EGRX,Biotechnology
961,EGY,"Oil, Gas & Consumable Fuels"
962,EHTH,Insurance
963,EIG,Insurance
964,EIGR,Biotechnology
965,EIX,Electric Utilities
966,EKSO,Health Care Equipment & Supplies
967,EL,Personal Products
968,ELA,Specialty Retail
969,ELDN,Biotechnology
970,ELF,Personal Products
971,ELP,Electric Utilities
972,ELS,Equity Real Estate Investment Trusts...
973,ELY,Leisure Products
974,EME,Construction & Engineering
975,EMKR,Communications Equipment
976,EML,Machinery
977,EMN,Chemicals
978,EMR,Electrical Equipment
979,EMX,Metals & Mining
980,ENB,"Oil, Gas & Consumable Fuels"
981,ENBL,"Oil, Gas & Consumable Fuels"
982,ENDP,Pharmaceuticals
983,ENG,Energy Equipment & Services
984,ENIA,Electric Utilities
985,ENIC,Electric Utilities
986,ENLC,"Oil, Gas & Consumable Fuels"
987,ENLV,Software
988,ENPH,Semiconductors & Semiconductor Equipment
989,ENR,Household Products
990,ENS,Electrical Equipment
991,ENSG,Health Care Providers & Services
992,ENSV,Energy Equipment & Services
993,ENTA,Biotechnology
994,ENTG,Semiconductors & Semiconductor Equipment
995,ENV,Software
996,ENVA,Consumer Finance
997,ENZ,Health Care Providers & Services
998,EOG,"Oil, Gas & Consumable Fuels"
999,EPAC,Machinery
1000,EPAM,IT Services
1001,EPAY,Software
1002,EPC,Personal Products
1003,EPD,"Oil, Gas & Consumable Fuels"
1004,EPM,"Oil, Gas & Consumable Fuels"
1005,EPR,Equity Real Estate Investment Trusts...
1006,EPZM,Biotechnology
1007,EQBK,Banks
1008,EQC,Equity Real Estate Investment Trusts...
1009,EQIX,Equity Real Estate Investment Trusts...
1010,EQNR,"Oil, Gas & Consumable Fuels"
1011,EQR,Equity Real Estate Investment Trusts...
1012,EQT,"Oil, Gas & Consumable Fuels"
1013,ERF,"Oil, Gas & Consumable Fuels"
1014,ERIC,Communications Equipment
1015,ERIE,Insurance
1016,ERII,Machinery
1017,ERJ,Aerospace & Defense
1018,ES,Electric Utilities
1019,ESBA,Equity Real Estate Investment Trusts...
1020,ESCA,Leisure Products
1021,ESE,Machinery
1022,ESEA,Marine
1023,ESGC,Entertainment
1024,ESGR,Insurance
1025,ESI,Chemicals
1026,ESLT,Aerospace & Defense
1027,ESNT,Thrifts & Mortgage Finance
1028,ESPR,Biotechnology
1029,ESRT,Equity Real Estate Investment Trusts...
1030,ESS,Equity Real Estate Investment Trusts...
1031,ESSA,Thrifts & Mortgage Finance
1032,ESTE,"Oil, Gas & Consumable Fuels"
1033,ESXB,Banks
1034,ET,"Oil, Gas & Consumable Fuels"
1035,ETN,Electrical Equipment
1036,ETR,Electric Utilities
1037,ETSY,Internet & Direct Marketing Retail
1038,EURN,"Oil, Gas & Consumable Fuels"
1039,EVA,"Oil, Gas & Consumable Fuels"
1040,EVBG,Software
1041,EVBN,Banks
1042,EVC,Media
1043,EVFM,Pharmaceuticals
1044,EVH,Health Care Technology
1045,EVI,Trading Companies & Distributors
1046,EVOK,Pharmaceuticals
1047,EVOL,Software
1048,EVR,Capital Markets
1049,EVRG,Electric Utilities
1050,EVRI,"Hotels, Restaurants & Leisure"
1051,EVTC,IT Services
1052,EW,Health Care Equipment & Supplies
1053,EWBC,Banks
1054,EXAS,Biotechnology
1055,EXC,Electric Utilities
1056,EXEL,Biotechnology
1057,EXK,Metals & Mining
1058,EXLS,IT Services
1059,EXN,Other Industrial Metals & Mining
1060,EXP,Construction Materials
1061,EXPD,Air Freight & Logistics
1062,EXPE,Internet & Direct Marketing Retail
1063,EXPO,Professional Services
1064,EXPR,Specialty Retail
1065,EXR,Equity Real Estate Investment Trusts...
1066,EXTN,Energy Equipment & Services
1067,EXTR,Communications Equipment
1068,EYEG,Pharmaceuticals
1069,EYES,Health Care Equipment & Supplies
1070,EYPT,Pharmaceuticals
1071,EZPW,Consumer Finance
1072,F,Automobiles
1073,FAF,Insurance
1074,FANG,"Oil, Gas & Consumable Fuels"
1075,FANH,Insurance
1076,FARM,Food Products
1077,FARO,"Electronic Equipment, Instruments & C..."
1078,FAST,Trading Companies & Distributors
1079,FATE,Biotechnology
1080,FB,Interactive Media & Services
1081,FBC,Thrifts & Mortgage Finance
1082,FBHS,Building Products
1083,FBIO,Biotechnology
1084,FBIZ,Banks
1085,FBK,Banks
1086,FBMS,Banks
1087,FBNC,Banks
1088,FBP,Banks
1089,FC,Professional Services
1090,FCBC,Banks
1091,FCCO,Banks
1092,FCCY,Banks
1093,FCEL,Electrical Equipment
1094,FCF,Banks
1095,FCN,Professional Services
1096,FCNCA,Banks
1097,FCPT,Equity Real Estate Investment Trusts...
1098,FCRD,Asset Management
1099,FCX,Metals & Mining
1100,FDP,Food Products
1101,FDS,Capital Markets
1102,FDUS,Capital Markets
1103,FDX,Air Freight & Logistics
1104,FE,Electric Utilities
1105,FELE,Machinery
1106,FENG,Interactive Media & Services
1107,FET,Energy Equipment & Services
1108,FF,Chemicals
1109,FFBC,Banks
1110,FFIC,Banks
1111,FFIN,Banks
1112,FFIV,Communications Equipment
1113,FFNW,Banks
1114,FFWM,Banks
1115,FGBI,Banks
1116,FGEN,Biotechnology
1117,FHB,Banks
1118,FHI,Asset Management
1119,FHN,Banks
1120,FIBK,Banks
1121,FICO,Software
1122,FIS,IT Services
1123,FISI,Banks
1124,FISV,IT Services
1125,FITB,Banks
1126,FIVE,Specialty Retail
1127,FIVN,Software
1128,FIX,Construction & Engineering
1129,FIZZ,Beverages
1130,FL,Specialty Retail
1131,FLDM,Life Sciences Tools & Services
1132,FLEX,"Electronic Equipment, Instruments & C..."
1133,FLIC,Banks
1134,FLL,"Hotels, Restaurants & Leisure"
1135,FLNT,Media
1136,FLO,Food Products
1137,FLOW,Machinery
1138,FLR,Construction & Engineering
1139,FLS,Machinery
1140,FLT,IT Services
1141,FLWS,Internet & Direct Marketing Retail
1142,FLXN,Biotechnology
1143,FLXS,Household Durables
1144,FMBH,Banks
1145,FMBI,Banks
1146,FMC,Chemicals
1147,FMNB,Banks
1148,FMS,Health Care Providers & Services
1149,FMX,Beverages
1150,FN,"Electronic Equipment, Instruments & C..."
1151,FNB,Banks
1152,FNF,Insurance
1153,FNHC,Insurance
1154,FNLC,Banks
1155,FNWB,Banks
1156,FOE,Chemicals
1157,FOLD,Biotechnology
1158,FONR,Health Care Equipment & Supplies
1159,FOR,Real Estate Management & Development
1160,FORD,"Textiles, Apparel & Luxury Goods"
1161,FORM,Semiconductors & Semiconductor Equipment
1162,FORR,Professional Services
1163,FOSL,"Textiles, Apparel & Luxury Goods"
1164,FOXF,Auto Components
1165,FPI,Equity Real Estate Investment Trusts...
1166,FR,Equity Real Estate Investment Trusts...
1167,FRBA,Banks
1168,FRBK,Banks
1169,FRC,Banks
1170,FRD,Metals & Mining
1171,FRGI,"Hotels, Restaurants & Leisure"
1172,FRME,Banks
1173,FRO,"Oil, Gas & Consumable Fuels"
1174,FRPH,Real Estate Management & Development
1175,FRPT,Food Products
1176,FRST,Banks
1177,FRT,Equity Real Estate Investment Trusts...
1178,FRTA,Construction Materials
1179,FSBW,Thrifts & Mortgage Finance
1180,FSK,Capital Markets
1181,FSLR,Semiconductors & Semiconductor Equipment
1182,FSM,Metals & Mining
1183,FSP,Equity Real Estate Investment Trusts...
1184,FSS,Machinery
1185,FSTR,Machinery
1186,FSTX,Biotechnology
1187,FSV,Real Estate Management & Development
1188,FTAI,Trading Companies & Distributors
1189,FTEK,Commercial Services & Supplies
1190,FTFT,Food Products
1191,FTI,Energy Equipment & Services
1192,FTK,Chemicals
1193,FTNT,Software
1194,FTS,Electric Utilities
1195,FTV,Machinery
1196,FUL,Chemicals
1197,FULT,Banks
1198,FUN,"Hotels, Restaurants & Leisure"
1199,FURY,Other Industrial Metals & Mining
1200,FWBI,Biotechnology
1201,FWONA,Entertainment
1202,FWP,Biotechnology
1203,FWRD,Air Freight & Logistics
1204,G,IT Services
1205,GABC,Banks
1206,GAIA,Entertainment
1207,GAIN,Capital Markets
1208,GALT,Biotechnology
1209,GASS,"Oil, Gas & Consumable Fuels"
1210,GATX,Trading Companies & Distributors
1211,GAU,Metals & Mining
1212,GBCI,Banks
1213,GBDC,Capital Markets
1214,GBL,Capital Markets
1215,GBLI,Insurance
1216,GBR,"Oil, Gas & Consumable Fuels"
1217,GBT,Biotechnology
1218,GBX,Machinery
1219,GCBC,Thrifts & Mortgage Finance
1220,GCI,Publishing
1221,GCO,Specialty Retail
1222,GCP,Chemicals
1223,GD,Aerospace & Defense
1224,GDDY,IT Services
1225,GDEN,"Hotels, Restaurants & Leisure"
1226,GDOT,Consumer Finance
1227,GDS,IT Services
1228,GE,Industrial Conglomerates
1229,GECC,Capital Markets
1230,GEF,Containers & Packaging
1231,GEL,"Oil, Gas & Consumable Fuels"
1232,GENC,Machinery
1233,GEO,Equity Real Estate Investment Trusts...
1234,GEOS,Energy Equipment & Services
1235,GERN,Biotechnology
1236,GES,Specialty Retail
1237,GEVO,"Oil, Gas & Consumable Fuels"
1238,GFF,Building Products
1239,GFI,Metals & Mining
1240,GGAL,Banks
1241,GGB,Metals & Mining
1242,GGG,Machinery
1243,GHC,Diversified Consumer Services
1244,GHL,Capital Markets
1245,GHM,Machinery
1246,GIB,IT Services
1247,GIC,Trading Companies & Distributors
1248,GIFI,Energy Equipment & Services
1249,GIGM,Entertainment
1250,GIII,"Textiles, Apparel & Luxury Goods"
1251,GIL,"Textiles, Apparel & Luxury Goods"
1252,GILD,Biotechnology
1253,GILT,Communications Equipment
1254,GIS,Food Products
1255,GKOS,Health Care Equipment & Supplies
1256,GL,Insurance
1257,GLAD,Capital Markets
1258,GLBS,Marine
1259,GLDD,Construction & Engineering
1260,GLG,Road & Rail
1261,GLMD,Biotechnology
1262,GLNG,"Oil, Gas & Consumable Fuels"
1263,GLOB,Software
1264,GLOP,"Oil, Gas & Consumable Fuels"
1265,GLP,"Oil, Gas & Consumable Fuels"
1266,GLPG,Biotechnology
1267,GLPI,Equity Real Estate Investment Trusts...
1268,GLRE,Insurance
1269,GLT,Paper & Forest Products
1270,GLW,"Electronic Equipment, Instruments & C..."
1271,GLYC,Biotechnology
1272,GM,Automobiles
1273,GME,Specialty Retail
1274,GMED,Health Care Equipment & Supplies
1275,GMRE,Equity Real Estate Investment Trusts...
1276,GMS,Trading Companies & Distributors
1277,GNCA,Biotechnology
1278,GNE,Electric Utilities
1279,GNK,Marine
1280,GNL,Equity Real Estate Investment Trusts...
1281,GNRC,Electrical Equipment
1282,GNSS,"Electronic Equipment, Instruments & C..."
1283,GNTX,Auto Components
1284,GNUS,Leisure Products
1285,GNW,Insurance
1286,GOGO,Wireless Telecommunication Services
1287,GOL,Airlines
1288,GOLD,Metals & Mining
1289,GOLF,Leisure Products
1290,GOOD,Equity Real Estate Investment Trusts...
1291,GOOG,Interactive Media & Services
1292,GOOGL,Interactive Media & Services
1293,GORO,Metals & Mining
1294,GPC,Distributors
1295,GPI,Specialty Retail
1296,GPK,Containers & Packaging
1297,GPL,Metals & Mining
1298,GPN,IT Services
1299,GPP,"Oil, Gas & Consumable Fuels"
1300,GPRE,"Oil, Gas & Consumable Fuels"
1301,GPRK,"Oil, Gas & Consumable Fuels"
1302,GPRO,Household Durables
1303,GRBK,Household Durables
1304,GRC,Machinery
1305,GRFS,Biotechnology
1306,GRMN,Household Durables
1307,GROW,Capital Markets
1308,GRPN,Internet & Direct Marketing Retail
1309,GRVY,Entertainment
1310,GS,Capital Markets
1311,GSAT,Diversified Telecommunication Services
1312,GSBC,Banks
1313,GSBD,Capital Markets
1314,GSIT,Semiconductors & Semiconductor Equipment
1315,GSK,Pharmaceuticals
1316,GSL,Marine
1317,GSM,Metals & Mining
1318,GSS,Metals & Mining
1319,GSV,Metals & Mining
1320,GT,Auto Components
1321,GTE,"Oil, Gas & Consumable Fuels"
1322,GTIM,"Hotels, Restaurants & Leisure"
1323,GTLS,Machinery
1324,GTN,Media
1325,GTS,Health Care Providers & Services
1326,GTY,Equity Real Estate Investment Trusts...
1327,GURE,Chemicals
1328,GVA,Construction & Engineering
1329,GWB,Banks
1330,GWRE,Software
1331,GWRS,Water Utilities
1332,GWW,Trading Companies & Distributors
1333,H,"Hotels, Restaurants & Leisure"
1334,HA,Airlines
1335,HAE,Health Care Equipment & Supplies
1336,HAFC,Banks
1337,HAIN,Food Products
1338,HALL,Insurance
1339,HALO,Biotechnology
1340,HAS,Leisure Products
1341,HASI,Equity Real Estate Investment Trusts...
1342,HAYN,Metals & Mining
1343,HBAN,Banks
1344,HBCP,Thrifts & Mortgage Finance
1345,HBI,"Textiles, Apparel & Luxury Goods"
1346,HBIO,Life Sciences Tools & Services
1347,HBM,Metals & Mining
1348,HBNC,Banks
1349,HBP,Trading Companies & Distributors
1350,HCA,Health Care Providers & Services
1351,HCCI,Commercial Services & Supplies
1352,HCI,Insurance
1353,HCKT,IT Services
1354,HCM,Pharmaceuticals
1355,HCSG,Commercial Services & Supplies
1356,HD,Specialty Retail
1357,HDB,Banks
1358,HDSN,Commercial Services & Supplies
1359,HE,Electric Utilities
1360,HEAR,Household Durables
1361,HEES,Trading Companies & Distributors
1362,HEI,Aerospace & Defense
1363,HELE,Household Durables
1364,HEP,"Oil, Gas & Consumable Fuels"
1365,HEPA,Pharmaceuticals
1366,HES,"Oil, Gas & Consumable Fuels"
1367,HFC,"Oil, Gas & Consumable Fuels"
1368,HFWA,Banks
1369,HHC,Real Estate Management & Development
1370,HI,Machinery
1371,HIBB,Specialty Retail
1372,HIG,Insurance
1373,HII,Aerospace & Defense
1374,HIL,Professional Services
1375,HIMX,Semiconductors & Semiconductor Equipment
1376,HIW,Equity Real Estate Investment Trusts...
1377,HL,Metals & Mining
1378,HLF,Personal Products
1379,HLI,Capital Markets
1380,HLIO,Machinery
1381,HLIT,Communications Equipment
1382,HLT,"Hotels, Restaurants & Leisure"
1383,HLX,Energy Equipment & Services
1384,HMC,Automobiles
1385,HMHC,Diversified Consumer Services
1386,HMLP,"Oil, Gas & Consumable Fuels"
1387,HMN,Insurance
1388,HMST,Thrifts & Mortgage Finance
1389,HMTV,Media
1390,HMY,Metals & Mining
1391,HNGR,Health Care Providers & Services
1392,HNI,Commercial Services & Supplies
1393,HNNA,Capital Markets
1394,HNP,Independent Power and Renewable Elect...
1395,HNRG,"Oil, Gas & Consumable Fuels"
1396,HOFT,Household Durables
1397,HOG,Automobiles
1398,HOLI,"Electronic Equipment, Instruments & C..."
1399,HOLX,Health Care Equipment & Supplies
1400,HOMB,Banks
1401,HON,Industrial Conglomerates
1402,HONE,Banks
1403,HOPE,Banks
1404,HOV,Household Durables
1405,HP,Energy Equipment & Services
1406,HPE,"Technology Hardware, Storage & Periph..."
1407,HPP,Equity Real Estate Investment Trusts...
1408,HPQ,"Technology Hardware, Storage & Periph..."
1409,HQY,Health Care Providers & Services
1410,HR,Equity Real Estate Investment Trusts...
1411,HRB,Diversified Consumer Services
1412,HRC,Health Care Equipment & Supplies
1413,HRI,Trading Companies & Distributors
1414,HRL,Food Products
1415,HROW,Pharmaceuticals
1416,HRTG,Insurance
1417,HRTX,Biotechnology
1418,HRZN,Capital Markets
1419,HSBC,Banks
1420,HSC,Machinery
1421,HSIC,Health Care Providers & Services
1422,HSII,Professional Services
1423,HSKA,Health Care Equipment & Supplies
1424,HST,Equity Real Estate Investment Trusts...
1425,HSTM,Health Care Technology
1426,HSTO,Biotechnology
1427,HSY,Food Products
1428,HT,Equity Real Estate Investment Trusts...
1429,HTA,Equity Real Estate Investment Trusts...
1430,HTBI,Banks
1431,HTBK,Banks
1432,HTBX,Biotechnology
1433,HTGC,Capital Markets
1434,HTGM,Health Care Technology
1435,HTH,Banks
1436,HTHT,"Hotels, Restaurants & Leisure"
1437,HTLD,Road & Rail
1438,HTLF,Banks
1439,HUBB,Electrical Equipment
1440,HUBG,Air Freight & Logistics
1441,HUBS,Software
1442,HUM,Health Care Providers & Services
1443,HUN,Chemicals
1444,HURC,Machinery
1445,HURN,Professional Services
1446,HVT,Specialty Retail
1447,HWC,Banks
1448,HWKN,Chemicals
1449,HWM,Aerospace & Defense
1450,HXL,Aerospace & Defense
1451,HY,Machinery
1452,HZN,Auto Components
1453,HZNP,Pharmaceuticals
1454,HZO,Specialty Retail
1455,IAC,Interactive Media & Services
1456,IAG,Metals & Mining
1457,IART,Health Care Equipment & Supplies
1458,IBA,Food Products
1459,IBCP,Banks
1460,IBM,IT Services
1461,IBN,Banks
1462,IBOC,Banks
1463,IBP,Household Durables
1464,IBRX,Biotechnology
1465,IBTX,Banks
1466,ICAD,Health Care Technology
1467,ICBK,Banks
1468,ICD,Energy Equipment & Services
1469,ICE,Capital Markets
1470,ICFI,Professional Services
1471,ICHR,Semiconductors & Semiconductor Equipment
1472,ICL,Chemicals
1473,ICLR,Life Sciences Tools & Services
1474,ICMB,Capital Markets
1475,ICPT,Biotechnology
1476,ICUI,Health Care Equipment & Supplies
1477,IDA,Electric Utilities
1478,IDCC,Communications Equipment
1479,IDEX,Software
1480,IDN,"Electronic Equipment, Instruments & C..."
1481,IDRA,Biotechnology
1482,IDT,Diversified Telecommunication Services
1483,IDXX,Health Care Equipment & Supplies
1484,IEP,Industrial Conglomerates
1485,IESC,Construction & Engineering
1486,IEX,Machinery
1487,IFF,Chemicals
1488,IGC,Trading Companies & Distributors
1489,IGT,"Hotels, Restaurants & Leisure"
1490,IHC,Insurance
1491,IHG,"Hotels, Restaurants & Leisure"
1492,III,IT Services
1493,IIIN,Building Products
1494,IIN,Health Care Equipment & Supplies
1495,IIPR,Equity Real Estate Investment Trusts...
1496,IIVI,"Electronic Equipment, Instruments & C..."
1497,ILMN,Life Sciences Tools & Services
1498,IMAX,Entertainment
1499,IMBI,Internet & Direct Marketing Retail
1500,IMGN,Biotechnology
1501,IMH,Thrifts & Mortgage Finance
1502,IMKTA,Food & Staples Retailing
1503,IMMR,"Technology Hardware, Storage & Periph..."
1504,IMO,"Oil, Gas & Consumable Fuels"
1505,IMOS,Semiconductors & Semiconductor Equipment
1506,IMUX,Biotechnology
1507,INBK,Banks
1508,INCY,Biotechnology
1509,INDB,Banks
1510,INFI,Biotechnology
1511,INFN,Communications Equipment
1512,INFO,Professional Services
1513,INFY,IT Services
1514,ING,Banks
1515,INGN,Health Care Equipment & Supplies
1516,INGR,Food Products
1517,INM,Biotechnology
1518,INN,Equity Real Estate Investment Trusts...
1519,INO,Biotechnology
1520,INOD,IT Services
1521,INOV,Health Care Technology
1522,INSG,Communications Equipment
1523,INSM,Biotechnology
1524,INSW,"Oil, Gas & Consumable Fuels"
1525,INT,"Oil, Gas & Consumable Fuels"
1526,INTC,Semiconductors & Semiconductor Equipment
1527,INTT,Semiconductors & Semiconductor Equipment
1528,INTU,Software
1529,INUV,Software
1530,INVA,Pharmaceuticals
1531,INVE,"Electronic Equipment, Instruments & C..."
1532,IO,Energy Equipment & Services
1533,IONS,Biotechnology
1534,IOSP,Chemicals
1535,IOVA,Biotechnology
1536,IP,Containers & Packaging
1537,IPAR,Personal Products
1538,IPG,Media
1539,IPGP,"Electronic Equipment, Instruments & C..."
1540,IPI,Chemicals
1541,IPWR,Electrical Equipment
1542,IQV,Life Sciences Tools & Services
1543,IRBT,Household Durables
1544,IRDM,Diversified Telecommunication Services
1545,IRIX,Health Care Equipment & Supplies
1546,IRM,Equity Real Estate Investment Trusts...
1547,IRMD,Health Care Equipment & Supplies
1548,IRS,Real Estate Management & Development
1549,IRT,Equity Real Estate Investment Trusts...
1550,IRTC,Health Care Equipment & Supplies
1551,IRWD,Biotechnology
1552,ISBC,Banks
1553,ISEE,Biotechnology
1554,ISR,Biotechnology
1555,ISRG,Health Care Equipment & Supplies
1556,ISTR,Banks
1557,IT,IT Services
1558,ITCI,Pharmaceuticals
1559,ITGR,Health Care Equipment & Supplies
1560,ITI,"Electronic Equipment, Instruments & C..."
1561,ITIC,Insurance
1562,ITRI,"Electronic Equipment, Instruments & C..."
1563,ITRN,Communications Equipment
1564,ITT,Machinery
1565,ITUB,Banks
1566,ITW,Machinery
1567,IVAC,"Technology Hardware, Storage & Periph..."
1568,IVC,Health Care Equipment & Supplies
1569,IVR,Mortgage Real Estate Investment Trus...
1570,IVZ,Capital Markets
1571,IX,Diversified Financial Services
1572,IZEA,Interactive Media & Services
1573,J,Construction & Engineering
1574,JACK,"Hotels, Restaurants & Leisure"
1575,JAGX,Pharmaceuticals
1576,JAKK,Leisure Products
1577,JAN,Commercial Services & Supplies
1578,JAZZ,Pharmaceuticals
1579,JBHT,Road & Rail
1580,JBL,"Electronic Equipment, Instruments & C..."
1581,JBLU,Airlines
1582,JBSS,Food Products
1583,JBT,Machinery
1584,JCI,Building Products
1585,JCS,Communications Equipment
1586,JD,Internet & Direct Marketing Retail
1587,JEF,Diversified Financial Services
1588,JHX,Construction Materials
1589,JJSF,Food Products
1590,JKHY,IT Services
1591,JKS,Semiconductors & Semiconductor Equipment
1592,JLL,Real Estate Management & Development
1593,JNJ,Pharmaceuticals
1594,JNPR,Communications Equipment
1595,JOBS,Professional Services
1596,JOE,Real Estate Management & Development
1597,JOUT,Leisure Products
1598,JPM,Banks
1599,JRJC,Capital Markets
1600,JRVR,Insurance
1601,JVA,Food Products
1602,JWN,Multiline Retail
1603,JYNT,Health Care Providers & Services
1604,K,Food Products
1605,KAI,Machinery
1606,KALU,Metals & Mining
1607,KALV,Biotechnology
1608,KAMN,Trading Companies & Distributors
1609,KAR,Commercial Services & Supplies
1610,KB,Banks
1611,KBAL,Commercial Services & Supplies
1612,KBH,Household Durables
1613,KBR,IT Services
1614,KDMN,Biotechnology
1615,KDNY,Biotechnology
1616,KDP,Beverages
1617,KE,"Electronic Equipment, Instruments & C..."
1618,KELYA,Professional Services
1619,KEP,Electric Utilities
1620,KEX,Marine
1621,KEY,Banks
1622,KEYS,"Electronic Equipment, Instruments & C..."
1623,KFRC,Professional Services
1624,KFS,Insurance
1625,KFY,Professional Services
1626,KGC,Metals & Mining
1627,KHC,Food Products
1628,KIM,Equity Real Estate Investment Trusts...
1629,KINS,Insurance
1630,KIRK,Specialty Retail
1631,KKR,Capital Markets
1632,KL,Metals & Mining
1633,KLAC,Semiconductors & Semiconductor Equipment
1634,KLIC,Semiconductors & Semiconductor Equipment
1635,KMB,Household Products
1636,KMI,"Oil, Gas & Consumable Fuels"
1637,KMPH,Pharmaceuticals
1638,KMPR,Insurance
1639,KMT,Machinery
1640,KMX,Specialty Retail
1641,KN,"Electronic Equipment, Instruments & C..."
1642,KNDI,Auto Components
1643,KNOP,"Oil, Gas & Consumable Fuels"
1644,KNSL,Insurance
1645,KNX,Road & Rail
1646,KO,Beverages
1647,KODK,"Technology Hardware, Storage & Periph..."
1648,KOF,Beverages
1649,KOP,Chemicals
1650,KOPN,Semiconductors & Semiconductor Equipment
1651,KOS,"Oil, Gas & Consumable Fuels"
1652,KPTI,Biotechnology
1653,KR,Food & Staples Retailing
1654,KRA,Chemicals
1655,KRC,Equity Real Estate Investment Trusts...
1656,KRG,Equity Real Estate Investment Trusts...
1657,KRNT,Machinery
1658,KRNY,Thrifts & Mortgage Finance
1659,KRO,Chemicals
1660,KSS,Multiline Retail
1661,KSU,Road & Rail
1662,KT,Diversified Telecommunication Services
1663,KTCC,"Electronic Equipment, Instruments & C..."
1664,KTOS,Aerospace & Defense
1665,KTRA,Biotechnology
1666,KURA,Biotechnology
1667,KVHI,Communications Equipment
1668,KW,Real Estate Management & Development
1669,KWR,Chemicals
1670,L,Insurance
1671,LAC,Metals & Mining
1672,LAD,Specialty Retail
1673,LADR,Mortgage Real Estate Investment Trus...
1674,LAKE,"Textiles, Apparel & Luxury Goods"
1675,LAMR,Equity Real Estate Investment Trusts...
1676,LANC,Food Products
1677,LAND,Equity Real Estate Investment Trusts...
1678,LAWS,Trading Companies & Distributors
1679,LAZ,Capital Markets
1680,LBAI,Banks
1681,LBRDA,Media
1682,LBRDK,Media
1683,LBTYA,Media
1684,LBTYK,Media
1685,LC,Consumer Finance
1686,LCI,Pharmaceuticals
1687,LCII,Auto Components
1688,LCNB,Banks
1689,LCUT,Household Durables
1690,LDOS,IT Services
1691,LE,Internet & Direct Marketing Retail
1692,LEA,Auto Components
1693,LECO,Machinery
1694,LEDS,Semiconductors & Semiconductor Equipment
1695,LEE,Media
1696,LEG,Household Durables
1697,LEJU,Internet & Direct Marketing Retail
1698,LEN,Household Durables
1699,LEU,"Oil, Gas & Consumable Fuels"
1700,LFC,Insurance
1701,LFT,REIT-Mortgage
1702,LFUS,"Electronic Equipment, Instruments & C..."
1703,LFVN,Personal Products
1704,LGIH,Household Durables
1705,LGND,Biotechnology
1706,LH,Health Care Providers & Services
